Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations,Victimisations,Latitude,Longitude
16,Sat,Theft and Related Offences,528100.0,"Theft (Except Motor Vehicles), N.E.C.",Mt Albert Central.,16,Auckland Region,Auckland.,1/01/2023,528100.0,Auckland Region,Auckland,1,1,-36.88163861,174.7257232
5,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",528100.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Mt Albert Central.,5,Auckland Region,Auckland.,1/01/2023,528100.0,Auckland Region,Auckland,1,1,-36.88163861,174.7257232
13,Sat,Theft and Related Offences,278007.0,Illegal Use of a Motor Vehicle,Parrs Park West.,13,Auckland Region,Auckland.,1/12/2022,278007.0,Auckland Region,Auckland,1,1,-36.90324764,174.6230668
21,Sat,Theft and Related Offences,205802.0,Illegal Use of a Motor Vehicle,Monarch Park.,21,Auckland Region,Auckland.,1/12/2022,205802.0,Auckland Region,Auckland,1,1,-36.79457395,174.7329148
14,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",205802.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Monarch Park.,14,Auckland Region,Auckland.,1/12/2022,205802.0,Auckland Region,Auckland,1,1,-36.79457395,174.7329148
4,Sat,Theft and Related Offences,238101.0,Illegal Use of a Motor Vehicle,Starling Park.,4,Auckland Region,Auckland.,1/12/2022,238101.0,Auckland Region,Auckland,1,1,-36.85562352,174.5962001
0,Sat,Theft and Related Offences,202000.0,Illegal Use of a Motor Vehicle,Glenfield Central.,0,Auckland Region,Auckland.,1/01/2023,202000.0,Auckland Region,Auckland,1,1,-36.78778394,174.7276678
0,Sat,Theft and Related Offences,281401.0,Illegal Use of a Motor Vehicle,McLaren Park.,0,Auckland Region,Auckland.,1/01/2023,281401.0,Auckland Region,Auckland,1,1,-36.89554496,174.6182717
0,Thu,Theft and Related Offences,281401.0,Illegal Use of a Motor Vehicle,McLaren Park.,0,Auckland Region,Auckland.,1/12/2022,281401.0,Auckland Region,Auckland,1,1,-36.89554496,174.6182717
7,Fri,Sexual Assault and Related Offences,281401.0,Aggravated Sexual Assault,McLaren Park.,7,Auckland Region,Auckland.,1/12/2022,281401.0,Auckland Region,Auckland,1,1,-36.89554496,174.6182717
0,Sat,Theft and Related Offences,224303.0,Illegal Use of a Motor Vehicle,Westgate.,0,Auckland Region,Auckland.,1/01/2023,224303.0,Auckland Region,Auckland,1,1,-36.82751333,174.615428
0,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",224303.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Westgate.,0,Auckland Region,Auckland.,1/01/2023,224303.0,Auckland Region,Auckland,1,1,-36.82751333,174.615428
11,Sat,Theft and Related Offences,179905.0,Illegal Use of a Motor Vehicle,North Harbour West.,11,Auckland Region,Auckland.,1/01/2023,179905.0,Auckland Region,Auckland,1,1,-36.73780441,174.6859612
19,Sat,Theft and Related Offences,178707.0,Illegal Use of a Motor Vehicle,Albany.,19,Auckland Region,Auckland.,1/01/2023,178707.0,Auckland Region,Auckland,1,1,-36.72469505,174.6876105
